Month			Remaining Balance			Monthly Payment			Interest Expense		Principle Expense
 1                  2755.68                   256.82                    12.50                   244.32
 2                  2510.34                   256.82                    11.48                   245.34
 3                  2263.97                   256.82                    10.46                   246.36
 4                  2016.59                   256.82                     9.43                   247.39
 5                  1768.17                   256.82                     8.40                   248.42
 6                  1518.71                   256.82                     7.37                   249.46
 7                  1268.22                   256.82                     6.33                   250.49
 8                  1016.68                   256.82                     5.28                   251.54
 9                   764.09                   256.82                     4.24                   252.59
10                   510.45                   256.82                     3.18                   253.64
11                   255.76                   256.82                     2.13                   254.70
12                     0.00                   256.82                     1.07                   255.76
